77 vocabcat records written
14792, vrb, oov, Made
14792, vrb, oov, Mang
14792, vrb, oov, Nengah
14792, vrb, oov, Ni Luh
14792, vrb, oov, Nyoman
14792, vrb, oov, Putu
14792, vrb, oov, Tut
14792, vrb, oov, Wayan
14845, vrb, oov, laki-laki
14845, vrb, oov, perempuan
14845, vrb, oov, dia
14845, vrb, oov, kita
14845, vrb, oov, mereka
14845, vrb, oov, saya
14845, vrb, oov, Anda
14845, vrb, oov, abang
14845, vrb, oov, adik
14845, vrb, oov, anak
14845, vrb, oov, anak laki-laki
14845, vrb, oov, anak perempuan
14845, vrb, oov, ayah
14845, vrb, oov, bapak
14845, vrb, oov, ibu
14845, vrb, oov, kakak
14845, vrb, oov, pacar
14845, vrb, oov, ahli bedah
14845, vrb, oov, akuntan
14845, vrb, oov, arsitek
14845, vrb, oov, asisten penjualan
14845, vrb, oov, dokter
14845, vrb, oov, dokter gigi
14845, vrb, oov, dokter hewan
14845, vrb, oov, guru
14845, vrb, oov, guru
14845, vrb, oov, hakim
14845, vrb, oov, kasir
14845, vrb, oov, koki
14845, vrb, oov, makelar
14845, vrb, oov, montir
14845, vrb, oov, pelayan
14845, vrb, oov, pemadam kebakaran
14845, vrb, oov, pembantu
14845, vrb, oov, pemotret
14845, vrb, oov, peneliti
14845, vrb, oov, pengacara
14845, vrb, oov, penjahit
14845, vrb, oov, penjual ikan
14845, vrb, oov, perawat
14845, vrb, oov, perias rambut
14845, vrb, oov, polisi
14845, vrb, oov, pramugari
14845, vrb, oov, resepsionis
14845, vrb, oov, sekretaris
14845, vrb, oov, teknisi komputer
14845, vrb, oov, tukang
14845, vrb, oov, tukang bangunan
14845, vrb, oov, tukang cat
14845, vrb, oov, tukang daging
14845, vrb, oov, tukang kayu
14845, vrb, oov, tukang las
14845, vrb, oov, tukang optic
14845, vrb, oov, tukang pangkas
